rh,temp,co2
50.281,31.89,54.7999992371
50.281,31.89,58.4000015259
50.329,31.864,60.7999992371
50.329,31.864,64.8000030518
50.281,31.89,66.3000030518
50.281,31.89,63.2000007629
50.281,31.89,64.6999969482
50.281,31.89,66.1999969482
50.281,31.89,64.8000030518
50.281,31.89,64.5
50.281,31.89,65
50.281,31.89,63.7000007629
50.281,31.89,61.5
50.281,31.89,58.7000007629
50.281,31.89,56.7999992371
50.281,31.89,58.5
51.546,31.476,57.0999984741
51.546,31.476,57.2999992371
51.685,31.456,57.0999984741
51.685,31.456,57.5999984741
51.546,31.476,57
51.546,31.476,58.7000007629
51.685,31.456,62.5
51.685,31.456,62.7999992371
51.763,31.412,62.7000007629
51.763,31.412,60.7999992371
51.799,31.398,64.1999969482
51.799,31.398,64.5
51.886,31.376,63.0999984741
51.886,31.376,63.5
51.952,31.348,63
51.952,31.348,64.8000030518
51.886,31.376,66.5999984741
51.886,31.376,68.0999984741
52.011,31.323,68.5999984741
52.011,31.323,70.8000030518
52.032,31.294,74.5999984741
52.023,31.245,70.8000030518
52.023,31.245,70
52.056,31.225,69.5
52.056,31.225,68
52.135,31.203,64.0999984741
52.135,31.203,60.5
52.056,31.225,61.9000015259
52.056,31.225,62.2999992371
52.19,31.185,62.7999992371
52.19,31.185,61.5
52.252,31.167,62.2999992371
52.252,31.167,60.7999992371
52.252,31.167,60.0999984741
52.252,31.167,58.5
52.252,31.167,58.2000007629
52.252,31.167,57.7999992371
52.252,31.167,58.4000015259
52.252,31.167,59.5
52.597,31.104,57.5
52.597,31.104,57.7000007629
52.706,31.092,56.2999992371
52.706,31.092,56
52.87,31.075,56.9000015259
52.87,31.075,56.9000015259
52.951,31.06,56.5
52.951,31.06,56.9000015259
52.87,31.075,56.9000015259
52.87,31.075,55.7000007629
52.87,31.075,55
52.87,31.075,57.2000007629
52.87,31.075,58.5999984741
52.87,31.075,60.0999984741
52.87,31.075,59.5
52.87,31.075,60.2000007629
52.87,31.075,60.9000015259
52.87,31.075,61
54.84,30.849,59.2000007629
54.84,30.849,63.7999992371
52.951,31.06,69
52.951,31.06,78.5999984741
54.828,30.817,82.8000030518
54.828,30.817,84
54.729,30.793,86.6999969482
54.729,30.793,89.3000030518
54.666,30.771,91
54.666,30.771,90.4000015259
54.729,30.793,90.9000015259
54.729,30.793,89.0999984741
54.666,30.747,89.3000030518
54.666,30.747,89
54.669,30.691,87.1999969482
54.669,30.691,87.6999969482
54.703,30.645,86.3000030518
54.703,30.645,86.5999984741
54.689,30.6,86.1999969482
54.689,30.6,86.4000015259
54.703,30.645,85.5999984741
54.703,30.645,82.9000015259
54.62,30.554,80.5999984741
54.62,30.554,75.9000015259
54.62,30.521,74.9000015259
54.62,30.521,73.4000015259
54.702,30.467,70.9000015259
54.702,30.467,73.0999984741
54.815,30.435,74.5999984741
54.815,30.435,75.1999969482
54.702,30.467,72.6999969482
54.702,30.467,73.0999984741
54.947,30.406,73.6999969482
54.947,30.406,72.5999984741
55.022,30.383,71.3000030518
55.022,30.383,70.4000015259
54.947,30.406,71.5999984741
54.947,30.406,72.1999969482
54.947,30.406,71
54.947,30.406,70
54.947,30.406,69.8000030518
54.947,30.406,69.4000015259
55.473,30.321,70.1999969482
55.473,30.321,71.3000030518
55.601,30.308,71.5999984741
55.601,30.308,71.1999969482
